id,name,thread

1,Page 1 (Black),"""Just who was the girl...?Cheryl? Or...Was it that woman's daughter...?"

2,Page 2,A bike is waiting outside of the cafe for Cybil. Its engine is running.

3,Page 3,"She gets the feeling that she has been descending for quite a long time.Suddenly, the staircase ends and flat ground is then under her feet.Cybil almost tripped without realizing it.第九章　　「決闘」「何かが燃えている」Chapter 9   ""Resolution""Something is burning"

4,Page 4,"Cybil begins to walk.And then, at some point she began to run.She passes through the trees, and once she climbed a small hill herfield of vision once again expanded."

5,Page 5,Far off in front of her a small red light can be seen.The red light is swaying...It wriggles like a hand waving someone to come forth.

6,Page 6,"After the chilly lobby the heat is unimaginable...The extraordinary heat feels almost as if magma from within the earth hasarisen, and because of it Cybil has to bend down as she walks fromtime to time."

7,Page 7,"That room is not far now...Cybil's sleeves have caught fire.The fire is gradually spreading around her footing, and Cybil's entire bodyis engulfed in flames."

8,Page 8 (Cybil seated in police station),"Cybil calls the Silent Hill police station one more time.""Odd,"" Cybil thought.It seems as if this might be the result of the telephone lineshaving been severed or something."

9,Page 9 (Cybil walking out of police station),"Cybil leaps from her chair, causing it to spin, reaches for the helmeton top of a locker, and with it in hand prepares to leave the room."

10,Page 10,When the two of them notice Cybil's presence they turn to face her.Dahlia looks surprised and the girl looks calm.Their expressions are in great contrast to each other.

11,Page 11,Not a single word was spoken.

12,Page 12 (Black),"Cybil straddles the motorcycle in the garage, inserts the key, and revs theengine.The sound of the exhaust resonates in the small space.She pulls out onto the road, and increases her speed as she is bathedfrom head to toe in the uncomfortably warm wind."

13,Page 13 (Cybil on motorcycle),Starlight falls upon her from the clear starlit sky.It doesn't look like the weather could have caused the problem with thephone lines.

14,Page 14,Cybil tries as hard as she can to try and make someone notice her butno matter what she does no one does.

15,Page 15 (Cybil behind Harry's jeep),"However, after a while she was able to see the tail lights of a vehicleswaying far off in the darkness in front of her.There is a cliff on one side of the road.Whether they realize that or not, the vehicle is heading toward the samedestination as Cybil at high speed."

16,Page 16,"""...that...was......"""

17,Page 17,"She is just a figure, and only half of her face can be seen, butit is a familiar one."

18,"Page 18 (Road, flickering)",..................

19,Page 19,"Before long, nothing else appeared in Cybil's eyes.The End B-2You will now receive the following Digital Trading Cards:5. Dahlia14. Groaner第九章　　「決闘」                                                          9-1階段を下り続けて                                                        (Black)Chapter 9   ""Resolution""Continuing down the staircase"

20,Page 20,"Some small creature...It got inside me at some time?It bites through my belly.And leaves me."""

21,Page 21,"...........................第七章　　「襲撃」「シビルを揺らす手」Chapter 7   ""Assault""The hand that shakes Cybil"

22,"Page 22 (Alessa in road, arms crossed)","But it was already too late.In the middle of the road a girl stood, with her arms raised toshield her from the light.(View moves side to side)"

23,Page 23 (Black),Cybil slammed on the brakes.The last thing she saw was the rapidly approaching rock wall on the side ofthe road...

24,Go to 1-1,"第一章　　「到着」                                                          1-1雪の降る街                                            (Cybil walking in street)Chapter 1   ""Arrival""The snowy town"

25,Page 6 (Cybil walking in street),"""Silent Hill""That is what is written on the sign on the sidewalk.In addition to the out of season snow the area is enveloped in thick fog,which generally makes her destination look differently than it normally would.The motorcycle that she came here on was also nowhere to be found."

26,Page 8 (Cafe),"The inside of the cafe is dead silent.She does not see any customers or employees.This destroys her hopes of getting something warm to drink, so she lets out asigh."

27,Page 9,"The police chief of Brahms...Fellow officers...And Sally...""Hey, Sally?Who passed away?""None of them answer."

28,Page 12 (Cafe alternate angle with Harry on bench),"She can see a man lying down on one of the long bench seats lined up alongthe windows.""A customer? No, this place isn't open.""She moves near him and looks down at his sleeping face.His face is twisting in agony, as if he is having a frightening dream."

29,Go to 1-2,"第一章　　「カフェ」                                                        1-2眠っている男                         (Cafe alternate angle with Harry on bench)Chapter 1   ""Cafe""The sleeping man"

30,Page 1 (Cafe alternate angle with Harry on bench),Cybil approaches the man and holds her arms out in a way that suggests thatshe is going to shake his shoulders.Movie: Harry wakes up in Cafe 5 to 2

31,Go to 1-3,B ) She wakes the man up.

32,Go to 1-4,"第一章　　「カフェ」                                                        1-3男が起きるまで待つ                   (Cafe alternate angle with Harry on bench)Chapter 1   ""Cafe""Cybil waits for the man to wake up"

33,Page 3 (Cybil standing in the center of the cafe),Cybil moved over to the man until she was able to look down at him andthen folded her arms.She was relieved.That was how she honestly felt.

34,Page 7 (Cybil changes),"For a moment Cybil could not hide her astonishment, but then because of herprofession she quickly feigned a more resolute attitude."

35,Page 8,"She may or may not have realized this...Cybil continues forward.第九章　　「決闘」「ダリアとアレッサ」Chapter 9   ""Resolution""Dahlia and Alessa"

36,Page 12 (Cybil Changes),"""So you also had an accident?I thought it was a good idea to head to the police station in this town aloneon my motorcycle, but...I guess I was going a little too fast."

37,Page 13,...........................

38,Page 15,"Her name has been engraved on the tombstone.""Am I dead?Am I dead?Someone tell me..."""

39,Go to 1-5,"第一章　　「カフェ」                                                        1-5拳銃を男に渡す                                            (Gun in Cybil's hand)Chapter 1   ""Cafe""Cybil gives the man a handgun"

40,Page 2 (Black),"Cybil summons all the strength she can muster and begins to run down the hall.""The stairs...Were the stairs really this far away?"""

41,Page 3 (Cafe) (Cybil appears),"""Human? Are you human?""Cybil makes an effort to compose herself and then sits down on a nearby chair.""Of course I am. Were you having a bad dream or something?"""

42,Page 1 (Cybil standing in the center of the cafe),"""I've got to look for Cheryl...There is no way I can just leave her here alone."""

43,Page 2 (Gun in Cybil's hand),"""I see. Well, I'll give you this then.You never know what might happen under these circumstances.If you feel threatened then pull the trigger without hesitating."""

44,Go to 2-1,"第二章　　「脱出への道」                                                    2-1八方塞がり                                                  (Street, heavy fog)Chapter 2   ""The Path to Escape""No way out"

45,"Page 1 (Street, heavy fog)","Cybil looks back and sees that the cafe has disappeared into the fog.Having lost her motorcycle, Cybil can only wander about on foot and alonein the eerie town."

