id;name;thread; go_to
0;Page 1 (Long shot of jeep);Давненько я не был в отпуске. Я еду на своем джипе. Направляюсь в сторону тихого курортного городка Сайлент Хилл, звук двигателя эхом отдается в темноте.;
1;Page 2 (Harry in jeep);Я Гарри Мейсон - обычный писатель.;
2;Page 3 (Cheryl in jeep);Ее глаза закрыты, Шерил мирно спит на пассажирском сиденье. Шерил — моя дочь. Она веселая и жизнерадостная, и ее случайные беззаботные улыбки делают меня счастливым.;
3;Page 4;Я не очень много общаюсь с людьми, в связи с тем как я зарабатываю на жизнь, поэтому существование Шерил стало для меня незаменимым. Шерил очень ждала этой поездки.;
4;Page 5 (Harry in jeep);Несмотря на прекрасное покрытие, это все же крутая горная дорога. В такой час очень мало шансов встретит попутку. Я нажимаю на педаль газа. Впереди только темнота и нет освещения. Я могу полагаться только на фары.;
5;Page 6 (Cybil on motorcycle);Свет отражается от зеркала заднего вида. Это мотоцикл. Похоже он направляется туда же, куда и мы, на ошеломляющей скорости. С ревом мотоцикл легко обходит нас по встречке.;
6;Page 7;Эмблема полиции... Должно быть, произошел несчастный случай или что-то в этом роде? Но я не припомню, чтобы я слышал о чем-то таком по радио.;
7;Page 8 (Cheryl in jeep);Шерил спит. Ребенок не должен бодрствовать в этот час. Интересно, что ей снится? Завтра я запланировал сводить ее в парк развлечений. Может, ей снятся карусели?;
8;Page 9 (Harry in jeep);Я взглянул на спящее лицо Шерил, а затем снова посмотрел вперед. Освещенный участок дороги будто вырывается из темноты, приближаясь ко мне. А? Что-то попадает в поле моего зрения.;
9;Page 10 (Fallen motorcycle);Это мотоцикл, который обогнал нас. Он лежит на боку на обочине дороги. Без сомнения, это тот же самый мотоцикл. Водителя не видно. Похоже, что он врезался в гору, пытаясь объехать какое-то препятствие и разлетелся на части.;
10;Page 11 (Road);Я аккуратно проезжаю мимо. Однако, в свете фар я не вижу ничего, что могло бы мне помешать. Воздух вокруг меня будто сгущается, радиоприем становится неустойчивым.;
11;Page 12 (Harry in jeep);Может, мне вернуться? Но моя нога настойчиво давит на педаль газа, и не собирается отпускать. «Теперь ты уже не можешь повернуть назад...» Что-то бормочет во мне.;
12;Page 13 (Cheryl in jeep);Глаза Шерил закрыты. Она спит. Я знаю, что должна проснуться. Но что это за тревожное чувство? Я чувствую, что мое тело не полностью мое. ... как будто я плыву.;
13;Page 14;Веки тяжелеют. Руль сбрасывает мою руку, создается впечатление, что он сам выбирает курс. Пронизывающий холод... Беспокойство... Я на пределе своих сил, пытаясь поддерживать себя в сознании.;
14;Page 15 (Harry with his hand off the steering wheel);"""Ах...""";
15;Page 16 (Girl-like figure in front of the jeep);Когда я увидел человеческую фигуру на дороге, я резко вывернул руль. Машине некуда было деваться, кроме как вниз, в темноту, под скалу.;
16;Go to 1-1;Глава 1 «Прибытие» Гарри просыпается в своем джипе;
17;Page 1 (Black);Тишина пронзает мои уши. Как дул ветер, его сопровождал пронизывающий холод. Где я? Я чувствую, как свет слабо проходит сквозь мои веки.;
18;Page 2;Кажется, я не ранен. Это мне ясно, потому что я не чувствую никакой боли в теле. Нет, может быть, я получил травму, которая не причиняет боли?;
19;Page 3;"Я... медленно пытаюсь открыть тяжелые веки Глава 1 ""Прибытие"" Несезонный снег";
20;Page 4 (Harry in wrecked jeep);"В город сыплет несезонный снег. Кроме звука ледяных капель, падающих на землю, больше ничего не слышно. ""Сайлент Хилл"" Это, несомненно, написано на табличке у дороги. Сам того не осознавая, мы с Шерил достигли места назначения.";
21;Page 5;Все мои воспоминания до этого момента исчезли. Ветер дует... Когда я смотрю рядом с собой, я в шоке.;
22;Page 6 (Empty seat of jeep);Пассажирская дверь осталась открытой, Шерил нигде не видно Глава 1 «Прибытие» Город-призрак;
23;Page 7;«Сайлент Хилл». Этот город, который должен был быть просто курортной зоной, кажется, по какой-то причине стал просто городом-призраком, или, может быть, он ждал нашего прибытия, или, возможно, город просто прижался к нам...;
24;Page 8;Так что теперь я один. Шерил здесь нет. Пока я спал, нет, пока я был без сознания, Шерил открыла пассажирскую дверь и вышла «одна» в это туристическое место, где царит тревожная тишина.;
25;Page 9;А потом она ушла от меня куда-то...;
26;Page 10 (Harry in front of wrecked jeep);Я плотно застегиваю куртку на шее и иду пешком на поиски Шерил. Интересно, что же здесь произошло? Ничто не имеет никакого смысла. Тишина, несезонный снег... И, что самое странное, весь город окутан густым туманом.; Go to 1-2
28;Page 1 (Harry in front of wrecked jeep);"""Что происходит..."" А) Пункт назначения Шерил...";
29;Go to 1-3;Б) В городе никого нет...;
30;Go to 1-4;Глава 1 «Местонахождение Шерил» Начало поиска Шерил;
31;Page 1 (Street corner, heavy fog);Я начинаю бежать. Только звуки моих шагов эхом разносятся по округе. Куда же пропала Шерил? Кто-то увел ее? В голове проносятся разные мысли.;
32;Page 2 (Cheryl appears);(Та-та-та...) (Ономатопея для шагов) У меня внезапно возникает ощущение, что я слышу не свои собственные шаги, поэтому я сразу же останавливаюсь, чтобы проверить это.;
33;Page 3;Сквозь густой туман я вижу фигуру размером с ребенка. «Шерил?» Я кричу без раздумий. Фигура совсем не двигается.;
34;Page 4 (Cheryl disappears);В тот момент, когда я начинаю медленно приближаться к фигуре, она начинает бежать. Я яростно преследую фигуру. Это определенно Шерил. Несмотря на то, что она тусклая, я бы не принял кого-то другого за Шерил.;
